Hardware,Model,Links,Price of single order,Number of orders,Price of total order
Raspberry Pi Zero 2W,Zero 2 W,Link,"€ 78,39",1,"€ 78,39"
Touch screen LCD TFT,,Link,"€ 23,69",1,"€ 23,69"
Rechargeable lithium batteries,,Link,"€ 3,94",2,"€ 7,88"
Adafruit PowerBoost 1000C,,Link,"€ 15,39",1,"€ 15,39"
Rotary switch,Taiwan-Made,Link,"€ 4,89",1,"€ 4,89"
Rotary encoder,1 Pole 5 Positions,Link,"€ 1,92",1,"€ 1,92"
Buttons,Color Yellow 3V,Link,"€ 2,22",3,"€ 6,66"
Mini speaker,,Link,"€ 2,39",1,"€ 2,39"
Audio Amp. Adafruit MAX98357A,,Link,"€ 1,89",1,"€ 1,89"
Geiger sensor,"""just board"" or ""no requires assembly""",Link,"€ 36,69",1,"€ 36,69"
RTC Module DS3231,1 pcs,Link,"€ 2,75",1,"€ 2,75"
FM Radio Module TEA5767,,Link,"€ 5,01",1,"€ 5,01"
Usb-C port,5 pz,Link,"€ 1,30",1,"€ 1,30"
Usb port,4P,Link,"€ 0,38",1,"€ 0,38"
HDMI Cable,Mini HDMI Male to Standard  HDMI Female,Link,"€ 3,11",1,"€ 3,11"
Dupont Cable (Button-Raspberry connection),10CM F-F,Link,"€ 0,91",1,"€ 0,91"
GPIO Splitter (to make space for dupont cables),,Link,"€ 3,85",1,"€ 3,85"
Micro Usb Port (to create a Usb to MicroUsb Cable),Black (or white) Micro USB,Link,"€ 2,70",1,"€ 2,70"
Bronze cables,1M 24AWG,Link,"€ 1,26",1,"€ 1,26"
,,,,,
Instruments,,,,,
Soldering Station,,Link,"€ 19,08",1,"€ 19,08"
Soldering Kit,,Link,"€ 15,50",1,"€ 15,50"
,,,,,
Add-Ons,,,,,
Solar Panel,,Link,"€ 2,39",1,"€ 2,39"
Test kits for Soldering,Led Chasing Kit game,Link,"€ 2,49",1,"€ 2,49"
,,,,,
Price (without 3D print),,,"€ 240,52",,
,,,,,
3D Print,"PETG, Standard Finish, Dark gray color",Link,"€ 140,00",1,
,,,,,
Total Price (EURO),,,"€ 380,52",,
Total Price ($),,,"€ 437,38",,